Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Carbon,,,,Sphere,No,,,,,Low,High,Low,Small Rodents,Female,Multiple,Intraperitoneal,Spinal Injury,Good,Good,Novel carbon dots with dual modulatory effects on the bone marrow and spleen as a potential therapeutic candidate for treating spinal cord injury,10.1016/j.bioactmat.2024.11.032,,10.0,500.0,,,,0.0,5.0,,,10.0,100.0
Carbon,,,,Sphere,No,,Other,,,Low,High,Low,,,,,Spinal Injury,Good,Good,Novel carbon dots with dual modulatory effects on the bone marrow and spleen as a potential therapeutic candidate for treating spinal cord injury,10.1016/j.bioactmat.2024.11.032,,10.0,500.0,,,,,,,,,
Carbon,,,,Sphere,Yes,,,,,Low,High,Low,Small Rodents,,Single,Intraperitoneal,Brain Injury,Good,Good,The neuroprotective effect of pretreatment with carbon dots from Crinis Carbonisatus against cerebral ischemia reperfusion injury,10.1186/s12951-021-00908-2,,10.0,500.0,,,,,,50.0,,10.0,
Carbon,,,,Sphere,Yes,,Other,,,,,,,,,,Brain Injury,,Good,The neuroprotective effect of pretreatment with carbon dots from Crinis Carbonisatus against cerebral ischemia reperfusion injury,10.1186/s12951-021-00908-2,,10.0,500.0,,,,,,,,,
Carbon,,,,Sphere,No,,Other,,,Low,High,Low,,,,,Brain Disease,Good,Good,Iron ions‑sequestrable and antioxidative carbon dot‑based nano‑formulation with nitric oxide release for Parkinson’s disease treatment,10.1016/j.biomaterials.2024.122622,,10.0,100.0,500.0,,,,,,,,
Carbon,,,,Sphere,No,,,Parkinsonism stimuli,,Low,High,Low,Small Rodents,,Multiple,Intravenous,Brain Disease,Good,Good,Iron ions‑sequestrable and antioxidative carbon dot‑based nano‑formulation with nitric oxide release for Parkinson’s disease treatment,10.1016/j.biomaterials.2024.122622,,10.0,100.0,500.0,,,,,,,,
Carbon,,,,Sphere,No,Negative ,,Neurodegenrative peptide,High,Low,High,Low,Small Rodents,,Multiple,Intraperitoneal,Brain Disease,Good,Good,Hydrophobic Carbon Dots Prevent α‑Synucleinopathy and Suppress Neuroinflammation to Treat Parkinson’s Disease,10.1002/agt2.711,10.0,100.0,1.0,10.0,10.0,100.0,5.0,10.0,,,,
Carbon,,,,Sphere,No,Negative ,Other,Neurodegenrative peptide,High,Low,High,Low,,,,,Brain Disease,Good,Good,Hydrophobic Carbon Dots Prevent α‑Synucleinopathy and Suppress Neuroinflammation to Treat Parkinson’s Disease,10.1002/agt2.711,10.0,100.0,1.0,10.0,10.0,100.0,,,,,,
Organic,,,,Sphere,No,Negative ,Primary,Growth/DF,High,Low,High,Low,,,,,Spinal Injury,Good,Good,miR-NPs-RVG promote spinal cord injury repair: implications from spinal cord-derived microvascular endothelial cells,10.1186/s12951-024-02797-7,100.0,200.0,100.0,500.0,,,,,,,,
Organic,,,,Sphere,No,Negative ,,Growth/DF,High,,,,Small Rodents,Female,Multiple,Intravenous,Spinal Injury,Good,Good,miR-NPs-RVG promote spinal cord injury repair: implications from spinal cord-derived microvascular endothelial cells,10.1186/s12951-024-02797-7,100.0,200.0,100.0,500.0,,,,,50.0,,10.0,
Other,,,,Sphere,No,Negative ,,Inflammatory stimuli,High,,,Low,Small Rodents,,Multiple,Intravenous,Spinal Injury,Good,Good,Enhanced spinal cord repair using bioengineered induced pluripotent stem cell-derived exosomes loaded with miRna,10.1186/s10020-024-00940-6,200.0,,1.0,10.0,,,0.0,5.0,,,10.0,
Other,,,,Sphere,No,Negative ,Other,Inflammatory stimuli,High,Low,High,Low,,,,,Spinal Injury,Good,Good,Enhanced spinal cord repair using bioengineered induced pluripotent stem cell-derived exosomes loaded with miRna,10.1186/s10020-024-00940-6,200.0,,1.0,10.0,,,,,,,,
Other,,,,Sphere,No,Negative ,,,,Low,High,Low,Small Rodents,Male,Multiple,Intranasal,Brain Injury,Good,Good,Extracellular vesicles of human glial cells exert neuroprotective effects via brain miRna modulation in a rat model of traumatic brain injury,10.1038/s41598-023-47627-2,10.0,100.0,,,,,,,50.0,,10.0,
Hybrid,,,,Sphere,No,,,Inflammatory stimuli,High,Low,High,Low,Small Rodents,Male,Single,Other,Spinal Injury,Good,Good,Application of silver nanoparticles for improving motor recovery after spinal cord injury via reduction of pro-inflammatory M1 macrophages,10.1016/j.heliyon.2023.e15689,,10.0,1.0,10.0,0.0,10.0,5.0,10.0,,,10.0,
Hybrid,,,,Sphere,No,,Raw 264.7,Inflammatory stimuli,High,Low,High,Low,,,,,Spinal Injury,Bad,Good,Application of silver nanoparticles for improving motor recovery after spinal cord injury via reduction of pro-inflammatory M1 macrophages,10.1016/j.heliyon.2023.e15689,,10.0,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Silver,Citrate ,AgNPs,Sphere,Yes,Negative ,Other,Inflammatory stimuli,High,Low,High,Low,,,,,Brain Disease,Good,Good,Silver  nanonomaterials reduce brain inflammation and related neurotoxicity through induction of H₂S-synthesizing enzymes,10.1038/srep42871,10.0,100.0,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Silver,Citrate ,AgNPs,Sphere,Yes,Negative ,Neuronal,Growth/DF,High,Low,High,Low,,,,,Brain Disease,Good,Good,Silver  nanonomaterials suppress retinoic acid-induced neuronal differentiation in human-derived neuroblastoma SH-SY5Y cells,10.1021/acsanm.2c04938,,10.0,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Silver,Citrate ,AgNPs,Sphere,Yes,Negative ,,,,,,,Small Rodents,Male,Multiple,Oral,Brain Disease,Bad,Good,Repeated oral administration of low doses of silver in mice: tissue distribution and effects on central nervous system,10.1186/s12989-021-00418-x,,10.0,,,,,0.0,5.0,,,10.0,
Inorganic,Gold,DAPU/CMC,Au_CDAHs,Sphere,No,,Other,Inflammatory stimuli,High,Low,High,Low,Small Rodents,Male,Multiple,Other,Brain Disease,Good,Good,An anti-inflammatory electroconductive hydrogel with self-healing property for the treatment of Parkinson’s disease,10.1016/j.cej.2022.137180,10.0,100.0,1.0,10.0,0.0,10.0,,,50.0,,10.0,
Inorganic,Gold,DAPU/CMC,Au_CDAHs,Sphere,No,,Other,Neurotoxins,High,Low,High,Low,Small Rodents,Male,Multiple,Other,Brain Disease,Good,Good,An anti-inflammatory electroconductive hydrogel with self-healing property for the treatment of Parkinson’s disease,10.1016/j.cej.2022.137180,10.0,100.0,1.0,10.0,0.0,10.0,,,50.0,,10.0,
Organic,Aucubin,,Au,,,,,Inflammatory stimuli,,Low,High,Low,Small Rodents,Female,Multiple,Intraperitoneal,Spinal Injury,,Good,Aucubin promoted neuron functional recovery by suppressing inflammation and neuronal apoptosis in a spinal cord injury model,10.1101/2022.02.01.478641,,,10.0,100.0,10.0,100.0,,,50.0,,10.0,100.0
Inorganic,Aucubin,,Au,,,,Glial,Inflammatory stimuli,,Low,High,High,,,,,Spinal Injury,,Good,Aucubin promoted neuron functional recovery by suppressing inflammation and neuronal apoptosis in a spinal cord injury model,10.1101/2022.02.01.478641,,,10.0,100.0,10.0,100.0,,,,,,
Hydrogel,,,,Non-Sphere,Yes,,Neuronal,Neurotoxins,High,Low,High,Low,,,,,Spinal Injury,Good,Good,Restoring neuronal iron homeostasis revitalizes neurogenesis after spinal cord injury,10.1073/pMissings.2220300120,200.0,,10.0,100.0,,,,,,,,
Hydrogel,,,,Non-Sphere,Yes,,,Parkinsonism stimuli,High,Low,High,Low,Small Rodents,,,Other,Spinal Injury,,,Restoring neuronal iron homeostasis revitalizes neurogenesis after spinal cord injury,10.1073/pMissings.2220300120,200.0,,10.0,100.0,,,5.0,10.0,50.0,,,
Inorganic,Gold,superparamagnetic iron oxide,NGF-SPIO-Au,Sphere,No,Negative ,Neuronal,Neurotoxins,High,,,,,,,,Brain Disease,Good,Good,Bioactive superparamagnetic iron oxide-gold  nanonomaterials regulated by a dynamagnetic field induce neuronal Ca2+ influx and differentiation,10.1016/j.bioactmat.2023.01.007,10.0,100.0,10.0,100.0,0.0,10.0,,,,,,
Inorganic,Carbon,ion stimulation,CIS,,,,,,,High,High,,,,,,Brain Disease,Good,Good,Carbon ion stimulation therapy reverses iron deposits and microglia-driven neuroinflammation and induces cognitive improvement in an Alzheimer’s disease mouse model,10.1038/s41598-025-91689-3,,,,,,,,,,,,
Inorganic,Spion,Curcumin,SPION _Cur,Sphere,No,Negative ,Neuronal,,,,,,,,,,Brain Disease,Good,Good,Superparamagnetic Iron Oxide  nanonomaterials and Curcumin Equally Promote Neuronal Branching Morphogenesis in the Absence of Nerve Growth Factor in PC12 Cells,10.3390/pharmaceutics14122692,10.0,100.0,10.0,100.0,,,,,,,,
Organic,,,,Sphere,No,,Other,Neurodegenrative peptide,High,Low,High,Low,,,,,Brain Disease,Good,Good,native PLGA  nanonomaterials regulate APP metabolism and protect neurons against β-amyloid toxicity,10.1016/j.ijbiomac.2022.08.148,10.0,100.0,10.0,100.0,10.0,100.0,,,,,,
Hybrid,,,,Sphere,No,Negative ,,Oxidative stress,High,Low,High,Low,Small Rodents,Both,Single,Intravenous,Brain Injury,Good,Good,"Responsive nanoparticles synergize with Curcumin to break the “ROS-Neuroinflammation” vicious cycle, enhancing traumatic brain injury outcomes",10.1186/s12951-025-03251-y,100.0,200.0,100.0,500.0,10.0,100.0,0.0,5.0,,,10.0,
Hybrid,,,,Sphere,No,Negative ,Glial,Oxidative stress,High,Low,High,Low,,,,,Brain Injury,Good,Good,"Responsive nanoparticles synergize with Curcumin to break the “ROS-Neuroinflammation” vicious cycle, enhancing traumatic brain injury outcomes",10.1186/s12951-025-03251-y,100.0,200.0,100.0,500.0,10.0,100.0,,,,,,
Organic,,,,Sphere,No,Negative ,,,High,Low,High,Low,Small Rodents,Both,Multiple,Other,Brain Disease,Good,Good,Trans-Blood Brain Barrier Delivery of Dopamine-Loaded nanoparticles Reverses Functional Deficits in Parkinsonian Rats,10.1021/nn506408v,100.0,200.0,100.0,500.0,,,,,50.0,,10.0,
Organic,,,,Sphere,No,Negative ,Neuronal,,High,Low,,Low,,,,,Brain Disease,Good,Good,Trans-Blood Brain Barrier Delivery of Dopamine-Loaded nanoparticles Reverses Functional Deficits in Parkinsonian Rats,10.1021/nn506408v,100.0,200.0,100.0,500.0,,,,,,,,
Organic,,,,Sphere,Yes,Negative ,Other,,High,Low,High,Low,,,,,Brain Injury,Good,Good,Transplantation of bioengineered Reelin-loaded PLGA/PEG micelles can accelerate neural tissue regeneration in photothrombotic stroke model of mouse,10.1002/btm2.10264,10.0,100.0,100.0,500.0,,,,,,,,
Organic,,,,Sphere,Yes,Negative ,,,High,Low,High,Low,,,,,Brain Injury,Good,Good,Transplantation of bioengineered Reelin-loaded PLGA/PEG micelles can accelerate neural tissue regeneration in photothrombotic stroke model of mouse,10.1002/btm2.10264,10.0,100.0,100.0,500.0,,,,,,,,
Hybrid,,,,Sphere,No,Negative ,,Oxidative stress,High,Low,High,Low,Small Rodents,Both,,,Spinal Injury,Good,Good,Adaptive Phenol-Based Hydrogel Embedded with Metformin nanoparticles Targets Oxidative Stress and Ferroptosis for Spinal Cord Injury Repair,10.1021/acsnano.5c09794,100.0,200.0,,,,,,,,,,
Hybrid,,,,Sphere,No,Negative ,Neuronal,Oxidative stress,High,High,Low,Low,,,,,Spinal Injury,Good,Good,Adaptive Phenol-Based Hydrogel Embedded with Metformin nanoparticles Targets Oxidative Stress and Ferroptosis for Spinal Cord Injury Repair,10.1021/acsnano.5c09794,100.0,200.0,,,,,,,,,,
Hybrid,,,,Non-Sphere,,Negative ,Glial,Ischemia models,High,Low,High,Low,,,,,Brain Disease,Good,Good,Injectable Graphene Oxide–Curcumin Hydrogel Induces Neuroprotection via ROS Scavenging and Mitochondrial Regulation,10.1016/j.mtbio.2024.101177,10.0,100.0,1.0,10.0,,,,,,,,
Hybrid,,,,Non-Sphere,,Negative ,,Ischemia models,High,Low,High,Low,Small Rodents,,Multiple,Other,Brain Disease,Good,Good,Injectable Graphene Oxide–Curcumin Hydrogel Induces Neuroprotection via ROS Scavenging and Mitochondrial Regulation,10.1016/j.mtbio.2024.101177,10.0,100.0,1.0,10.0,,,10.0,,1.0,50.0,10.0,
Organic,,,,Sphere,No,Negative ,,Inflammatory stimuli,High,Low,High,Low,Small Rodents,Both,,Oral,Spinal Injury,Good,Good,Biomimetic nanoplatform with Anti-inflammation and Neuroprotective Effects for Repairing Spinal Cord Injury in Mice,10.1016/j.mtbio.2023.100836,200.0,,500.0,,,,,,,,,
Organic,,,,Sphere,No,Negative ,Glial,Inflammatory stimuli,High,Low,High,Low,,,,,Spinal Injury,Good,Good,Biomimetic nanoplatform with Anti-inflammation and Neuroprotective Effects for Repairing Spinal Cord Injury in Mice,10.1016/j.mtbio.2023.100836,200.0,,500.0,,,,,,,,,
Organic,,,,Non-Sphere,No,,,Physical stimuli,High,Low,High,Low,Small Rodents,Female,Multiple,Other,Spinal Injury,,Good,Polypyrrole/Polylactic Acid nanofibrous Scaffold Cotransplanted with Bone Marrow Stromal Cells Promotes Functional Recovery of Spinal Cord Injury in Rats,10.1111/cns.13135,200.0,,,,0.0,10.0,5.0,10.0,50.0,,10.0,
Organic,,,,Non-Sphere,No,,Neuronal,Physical stimuli,High,Low,High,Low,,,,,Spinal Injury,Good,Good,Polypyrrole/Polylactic Acid nanofibrous Scaffold Cotransplanted with Bone Marrow Stromal Cells Promotes Functional Recovery of Spinal Cord Injury in Rats,10.1111/cns.13135,200.0,,,,0.0,10.0,,,,,,
Organic,,,,Sphere,No,Negative ,Neuronal,,High,,,,,,,,Spinal Injury,,Good,Induction of Neural Differentiation and Protection by a Novel Slow-Release nanoparticle Estrogen Construct in a Rat Model of Spinal Cord Injury,10.1007/s11064-024-04289-4,100.0,200.0,,,,,,,,,,
Organic,,,,Sphere,No,Negative ,,,High,Low,High,Low,Small Rodents,Male,Single,Intraperitoneal,Spinal Injury,,Good,Induction of Neural Differentiation and Protection by a Novel Slow-Release nanoparticle Estrogen Construct in a Rat Model of Spinal Cord Injury,10.1007/s11064-024-04289-4,100.0,200.0,,,,,,,50.0,,,
Other,,,,Sphere,No,Negative ,,Inflammatory stimuli,High,Low,High,Low,Small Rodents,Both,Single,Other,Spinal Injury,Good,Good,A Cryo-shocked M2 Macrophages-based Treatment Strategy Promoting Repair of Spinal Cord Injury via Immunomodulation and Axonal Regeneration,10.1186/s12951-024-03018-x,200.0,,100.0,500.0,0.0,10.0,5.0,10.0,50.0,,,
